Startup Name,Industry,Founding Year,Unicorn Entry Year,Profit in 2021,Current Valuation,Acquisitions,IPO Status,location,Funding(Amt in USD)
PhysicsWallah,Edtech,2016,2022,-$0.877 Million,$1.1 Billion,0,Unlisted,Rajasthan,
LeadSquared,SaaS- CRM,2011,2022,-$1 Million,$1 BIllion,0,Unlisted,Karnataka,
ElasticRun,E-commerce Logistics,2015,2022,-$12 Million,$1.5 Billion,0,Unlisted,Maharashtra,"20,00,000"
LEAD School,Edtech,2012,2022,-$15 Million,$1.1 Billion,1,Unlisted,Maharashtra,
Purplle,E-commerce Personal Care,2012,2022,-$6 Million,$1.1 Billion,1,Unlisted,Maharashtra,"5,37,006"
DealShare,E-commerce,2018,2022,-$8 Million,$1.7 Billion,0,Unlisted,Karnataka,"250,000,000"
Xpressbees,E-commerce Logistics,2015,2022,-$8 Million,$1.2 Billion,0,Unlisted,Maharashtra,"1,25,00,000"
Open,Fintech,2017,2022,-$8 Million,$1 BIllion,2,Unlisted,Karnataka,"500,000"
Games24x7,Gaming,2006,2022,$13 Million,$2.5 Billion,0,Unlisted,Maharashtra,
Amagi,"Media, Advertising",2008,2022,$2 Million,$1 BIllion,0,Unlisted,Karnataka,"3,50,00,000"
Fractal Analytics,SaaS- Analytics,2000,2022,NA,$1 BIllion,7,Unlisted,Karnataka,"10,00,00,000"
Darwinbox,SaaS- HR,2015,2022,NA,$1.07 BIllion,0,Unlisted,Telangana,"40,00,000"
Livspace,E-commerce Interior Design,2014,2022,NA,$1.2 Billion,4,Unlisted,Karnataka,"1,50,00,000"
Uniphore,SaaS- Conversational Automation,2008,2022,NA,$2.5 Billion,3,Unlisted,Tamil Nadu,"1,446,980,000"
Hasura,SaaS- Programming Tools,2017,2022,NA,$1 BIllion,0,Unlisted,Karnataka,
Yubi (CredAvenue),Fintech,2017,2022,NA,$1.3 Billion,2,Unlisted,Tamil Nadu,
CommerceIQ,E-commerce Management Platform,2012,2022,NA,$1 BIllion,0,Unlisted,Karnataka,
Oxyzo,Fintech,2016,2022,NA,$1 BIllion,0,Unlisted,Haryana,
OneCard,Fintech,2018,2022,NA,$1.4 Billion,0,Unlisted,Maharashtra,
Moglix,B2B E-commerce,2015,2021,-$10 Million,$2.6 Billion,1,Unlisted,Uttar Pradesh,"65,400,000"
NoBroker,PropTech,2014,2021,-$12 Million,$1 BIllion,1,Unlisted,Karnataka,"71,400,000"
MobiKwik,Fintech,2009,2021,-$13 Million,$1 BIllion,1,Registered,Haryana,"85,600,000"
Spinny,Automotive,2015,2021,-$13 Million,$1.75 Billion,3,Unlisted,Haryana,"10,00,000"
MPL,ESports,2018,2021,-$16 Million,$2.3 Billion,3,Unlisted,Karnataka,
Acko,Insurtech,2016,2021,-$16 Million,$1.1 Billion,1,Unlisted,Maharashtra,"1,20,00,000"
ShareChat,Social Media,2015,2021,-$183 Million,$5 Billion,6,Unlisted,Karnataka,"23,550,000"
Eruditus,Edtech,2010,2021,-$242 Million,$3.2 Billion,1,Unlisted,Maharashtra,"82,00,000"
upGrad,Edtech,2015,2021,-$26 Million,$2.25 Billion,11,Unlisted,Karnataka,
Apna,Marketplace- Employment,2019,2021,-$3 Million,$1.1 Billion,0,Unlisted,Uttar Pradesh,"8,000,000"
Urban Company,Home Services,2014,2021,-$31 Million,$2.1 Billion,3,Unlisted,Haryana,
BharatPe,Fintech Payments,2018,2021,-$34 Million,$2.85 Billion,1,Unlisted,Delhi,"7,50,00,000"
CarDekho,E-commerce Automotives,2007,2021,-$42 Million,$1.2 Billion,3,Unlisted,Rajasthan,"250,000,000"
Licious,E-commerce Meat Products,2015,2021,-$46 Million,$1.3 Billion,0,Unlisted,Karnataka,"44,000,000"
Zetwerk,Marketplace- Consumer goods,2018,2021,-$5 Million,$2.5 Billion,3,Unlisted,Karnataka,
Meesho,E-commerce,2015,2021,-$62 Million,$4.9 Billion,0,Unlisted,Karnataka,"377,100,000"
Blinkit (ex-Grofers),E-commerce- Groceries,2013,2021,-$69 Million,$0.568 Billion,2,Unlisted,Haryana,
Pristyn Care,Healthtech,2018,2021,-$7 Million,$1.4 Billion,1,Unlisted,Karnataka,
Vedantu,Edtech,2011,2021,-$75 Million,$1 BIllion,2,Unlisted,Karnataka,"118,560,000"
Upstox,Fintech,2010,2021,-$8 Million,$3.4 Billion,0,Unlisted,Maharashtra,
Slice,Fintech,2016,2021,-$8.9 Million,$1.4 Billion,1,Unlisted,Karnataka,"20,00,000"
CRED,Financial Technology,2018,2021,-$80 Million,$6.4 Billion,2,Unlisted,Karnataka,
CureFit,Healthcare,2016,2021,-$83 Million,$1.5 Billion,14,Unlisted,Karnataka,"18,200,000"
Mamaearth,E-commerce Personal Care,2016,2021,$24 Million,$1.07 Billion,4,Unlisted,Haryana,"22,358,860"
Infra.Market,B2B E-commerce,2016,2021,$3 Million,$2.5 Billion,2,Unlisted,Maharashtra,
Five Star Business Finance,Financial Services,1984,2021,$44 Million,$1.4 Billion,0,Registered,Tamil Nadu,
OfBusiness,Building Materials,2015,2021,$6 Million,$5 Billion,1,Unlisted,Haryana,"48,900,000"
CoinSwitch Kuber,Cryptocurrencies,2017,2021,$8 Million,$1.9 Billion,0,Unlisted,Karnataka,
CoinDCX,Cryptocurrency Exchange,2018,2021,NA,$2.15 Billion,0,Unlisted,Maharashtra,
BlackBuck,Logistics,2015,2021,NA,$1.02 Billion,0,Unlisted,Karnataka,"174,500,000"
Droom,Marketplace- Automotives,2014,2021,NA,$1.2 Billion,1,Registered,Haryana,"39,000,000"
PharmEasy,Online Pharmacy,2015,2021,NA,$5.6 Billion,3,Registered,Maharashtra,"1,80,00,000"
MyGlamm,Personal Care Marketplace,2015,2021,NA,$1.2 Billion,5,Unlisted,Maharashtra,"11,300,000"
Digit Insurance,Insurance,2016,2021,NA,$4 Billion,1,Unlisted,Karnataka,"1,80,00,000"
Innovaccer,Healthcare,2014,2021,NA,$3.2 Billion,0,Unlisted,Uttar Pradesh,"1,56,00,000"
Groww,Fintech,2017,2021,NA,$3 Billion,1,Unlisted,Karnataka,"84,100,000"
Gupshup,Software,2004,2021,NA,$1.4 Billion,5,Unlisted,Karnataka,
Chargebee,Financial Services,2011,2021,NA,$3.5 Billion,3,Unlisted,Tamil Nadu,"23,000,000"
Zeta,Fintech,2015,2021,NA,$1.5 Billion,0,Unlisted,Karnataka,
BrowserStack,Cloud Infrastructure and Software,2011,2021,NA,$4 Billion,3,Unlisted,Maharashtra,"5,00,00,000"
Mohalla Tech (Moj),Software,2015,2021,NA,$5 Billion,6,Unlisted,Karnataka,
Matic Network / Polygon,Blockchain,2018,2021,NA,$10 Billion,2,Unlisted,Maharashtra,
MindTickle,Saas- Enterprise Software,2011,2021,NA,$1.2 Billion,0,Unlisted,Maharashtra,"39,500,000"
Rebel Foods,E-commerce Food Delivery,2011,2021,NA,$1.4 Billion,1,Unlisted,Maharashtra,
Mensa,Financial Services,2021,2021,NA,$1.2 Billion,16,Unlisted,Karnataka,
GlobalBees,E-commerce Retail,2021,2021,NA,$1.1 Billion,11,Unlisted,Delhi,
Dailyhunt,Social News,2007,2020,-$101 Million,$5 Billion,4,Unlisted,Karnataka,"31,390,000"
Unacademy,Edtech,2015,2020,-$192 Million,$3.4 Billion,12,Unlisted,Karnataka,"185,570,001"
Cars24,B2C E-commerce,2015,2020,-$28 Million,$3.3 Billion,0,Unlisted,Haryana,"60,700,000"
"Glance, Inmobi",Mobile Technology,2019,2020,-$9 Million,$1.8 Billion,4,Unlisted,Karnataka,
RazorPay,Fintech,2014,2020,$0.875 Million,$7.5 Billion,5,Unlisted,Karnataka,"11,120,000"
Zerodha,Stockbroker,2010,2020,$140 Million,$2 Billion,0,Unlisted,Karnataka,
PhonePe,Fintech Payments,2015,2020,$217 Million,$5.5 Billion,5,Unlisted,Karnataka,"3,87,00,000"
FirstCry,E-commerce,2010,2020,$26 Million,$2 Billion,2,Unlisted,Maharashtra,"332,000,000"
Nykaa,E-commerce,2012,2020,$7 Million,$8.3 Billion,5,Listed,Maharashtra,"23,58,00,000"
Pine Labs,Fintech,1998,2020,NA,$5 Billion,5,Unlisted,Uttar Pradesh,"120,080,000"
Highradius,Fintech,2006,2020,NA,$3.1 Billion,0,Unlisted,Telangana,
Verse Innovation,Content Technology,2007,2020,NA,$5 Billion,3,Unlisted,Karnataka,
Zenoti,Saas- Spa and Salon Services,2010,2020,NA,$1.5 Billion,1,Unlisted,Telangana,"225,000,000"
Postman,Saas- API Development and Testing,2014,2020,NA,$5.6 Billion,0,Unlisted,Karnataka,"8,000,000"
Delhivery,E-commerce Logistics Services,2011,2019,-$14 Million,$4 Billion,3,Listed,Haryana,"150,000,000"
Icertis,Saas- Contract Management,2009,2019,-$2 Million,$5 Billion,0,Unlisted,Maharashtra,"96,000,000"
Ola Electric,Automotive,2017,2019,-$24 Million,$5 Billion,1,Unlisted,Karnataka,"1,000,000"
Druva,Saas- Data Management,2008,2019,-$4 Million,$2 Billion,3,Unlisted,Maharashtra,"5,10,00,000"
BigBasket,E-commerce- Groceries,2011,2019,-$51 Million,$2.7 Billion,6,Unlisted,Karnataka,"292,000,000"
Rivigo,Logistics,2014,2019,-$67 Million,$1.09 Billion,0,Unlisted,Haryana,"130,000,000"
Lenskart,E-commerce- Eyewear,2010,2019,$3 Million,$4.3 Billion,2,Unlisted,Delhi,"65,650,000"
Dream11,Fantasy Sports,2008,2019,$41 Million,$8 Billion,2,Unlisted,Mahrashtra,"10,00,00,000"
CitiusTech,Healthcare Technology,2005,2019,NA,$2.4 Billion,2,Unlisted,Maharashtra,
Freshworks,SaaS - CRM,2010,2018,-$188 Million,$3.5 Billion,13,Listed,Tamil Nadu,"15,00,00,000"
Udaan,E-commerce,2016,2018,-$310 Million,$3.1 Billion,0,Unlisted,Karantaka,"870,000,000"
OYO Rooms,Hospitality,2013,2018,-$495 Million,$9 Billion,8,Registered,Haryana,"285,000,000"
Paytm Mall,E-commerce,2017,2018,-$62 Million,$0.013 Billion,0,Unlisted,Uttar Pradesh,
Swiggy,Foodtech,2014,2018,$203 Million,$10.7 Billion,5,Unlisted,Karnataka,"656,500,000"
BYJU'S,Edtech,2011,2018,$6 Million,$22 Billion,19,Unlisted,Haryana,
Policybazaar,Insurance company,2008,2018,NA,$2.4 Billion,0,Listed,Haryana,"87,700,000"
Billdesk,Fintech,2000,2018,NA,$4.7 Billion,0,Unlisted,Maharashtra,"7,50,00,000"
ReNew Power,Renewable Energy,2011,2017,NA,$8 Billion,5,Listed,Haryana,
OLA,Transportation,2010,2015,-$105 Million,$7.3 Billion,8,Unlisted,Karnataka,
Zomato,Foodtech,2008,2015,-$153 Million,$5.4 Billion,15,Listed,Haryana,"685,000,000"
Paytm,E-commerce Finance,2010,2015,-$214 Million,$16 Billion,12,Listed,Uttar Pradesh,3148950000
Mu Sigma,SaaS- Analytics,2004,2013,NA,$1.5 Billion,1,Unlisted,Karnataka,
Flipkart,E-commerce,2007,2012,-$307 Million,$37.6 Billion,18,Unlisted,Karnatka,"5,95,97,00,000"
InMobi,Adtech,2007,2011,-$9 Million,$1 Billion,10,Unlisted,Karnatka,"10,00,00,000"
MakeMyTrip,Online Travel,2000,2010,-$56 Million,$2.52 Billion,9,Listed,Haryana,"190,000,000"